Name,Location,Type,Rating,Price
ITC Fabelle Chocolates,kondhwa-lh,"Bakery, Desserts",4.8,600 FOR TWO
Cafe Bun Maska,kondhwa-lh,"Snacks, Beverages, Chinese",4.1,250 FOR TWO
Theobroma,kondhwa-lh,"Bakery, Desserts",4.6,500 FOR TWO
Cheesecakes By CakeZone,kondhwa-lh,"Desserts, Bakery",4.7,200 FOR TWO
Srinidhi Veg,kondhwa-lh,"North Indian, South Indian, Chinese",4.3,350 FOR TWO
Mad Momos,kondhwa-lh,"Chinese, Tibetan, Nepalese, Beverages, Pizzas, Snacks",3.8,200 FOR TWO
Shakes,kondhwa-lh,"Beverages, Desserts",--,300 FOR TWO
CLASSIC KITCHEN,kondhwa-lh,"Indian, Combo, Afghani, Salads, Desserts",--,180 FOR TWO
Meghdoot's,kondhwa-lh,"North Indian, South Indian, Chinese",4.1,350 FOR TWO
Karim's Cafe,kondhwa-lh,"Chinese, Fast Food, Beverages",3.8,250 FOR TWO
THE WAFFLE JAR,kondhwa-lh,"Desserts, Bakery, Beverages",2.9,200 FOR TWO
Chai - The Way You Like It,kondhwa-lh,Fast Food,4.2,250 FOR TWO
Faasos - Wraps & Rolls,kondhwa-lh,"Fast Food, North Indian, Street Food, Desserts",4.2,200 FOR TWO
LunchBox - Meals and Thalis,kondhwa-lh,"North Indian, Punjabi, Biryani, Healthy Food, Jain, Thalis, Indian, Mughlai, Des...",4.2,200 FOR TWO
Cafe Durga - Gangadham,kondhwa-lh,"South Indian, Pizzas, Beverages",--,150 FOR TWO
New diamond bakery,kondhwa-lh,"Bakery, Desserts",4.6,200 FOR TWO
Kaka Halwai Namkeens And Sweets,kondhwa-lh,"Sweets, Snacks",4.1,300 FOR TWO
Subway,kondhwa-lh,"Healthy Food, Salads, Snacks, Desserts, Beverages",4.1,350 FOR TWO
Mamma's Foodie House,kondhwa-lh,"Pizzas, Fast Food",--,250 FOR TWO
S Kumar Wadewale,kondhwa-lh,Snacks,4.1,150 FOR TWO
Kings Bakers,kondhwa-lh,Bakery,--,350 FOR TWO
Thorat's Baarbeque Misal,kondhwa-lh,"Street Food, Beverages",3.2,200 FOR TWO
Kitchen Ennovation,kondhwa-lh,"Indian, North Indian",--,250 FOR TWO
Pure Veg Meals by Lunchbox,kondhwa-lh,"North Indian, Desserts, Biryani",4.0,200 FOR TWO
SLAY Coffee,kondhwa-lh,"Beverages, Desserts",4.4,200 FOR TWO
South Samrat Pure Veg ,kondhwa-lh,"North Indian, South Indian, Chinese",4.3,300 FOR TWO
Danny's Kitchen,kondhwa-lh,North Indian,--,120 FOR TWO
Cream Corner,kondhwa-lh,"Fast Food, Desserts, Bakery",4.2,300 FOR TWO
Oota Maadi,kondhwa-lh,"South Indian, Beverages",4.2,200 FOR TWO
Haldiram's Sweets and Namkeen,kondhwa-lh,Sweets,4.3,200 FOR TWO
Merwans Cake Stop,kondhwa-lh,"Bakery, Desserts",4.5,400 FOR TWO
Ar-Razzaq Snack'S Centre	,kondhwa-lh,"Snacks, Fast Food",--,300 FOR TWO
Arkie's Born Bakers,kondhwa-lh,Bakery,4.4,300 FOR TWO
Foodies 365,kondhwa-lh,Fast Food,--,200 FOR TWO
Sweet Truth,kondhwa-lh,"Bakery, Desserts",4.3,450 FOR TWO
Bring it on Cafe,kondhwa-lh,"American, Bakery, Italian",--,300 FOR TWO
Angadpal Tiffin Service And Catering Service,kondhwa-lh,"Indian, North Indian",--,200 FOR TWO
Sardarji's Paratha & Chaap House,kondhwa-lh,"North Indian, Beverages",4.0,250 FOR TWO
KANNU KI CHAI,kondhwa-lh,"Italian, Beverages",4.5,350 FOR TWO
Kaka wadewale,kondhwa-lh,"Snacks, Chaat, Beverages",3.9,150 FOR TWO
Faasos' Signature Wraps & Rolls,kondhwa-lh,"Snacks, Beverages, Desserts, Indian",--,350 FOR TWO
Cafe Iranian,kondhwa-lh,"Beverages, Snacks, Fast Food, Indian",--,200 FOR TWO
The Brooklyn Creamery - Healthy Ice Cream,kondhwa-lh,"Desserts, Ice Cream, Healthy Food",4.3,200 FOR TWO
S.A Dosa Cafe,kondhwa-lh,"South Indian, Beverages, Fast Food",--,300 FOR TWO
We Idliwale,kondhwa-lh,South Indian,4.2,300 FOR TWO
Kanha,kondhwa-lh,"South Indian, North Indian, Chinese, Indian, Desserts, Beverages",4.3,300 FOR TWO
Nothing But Chicken,kondhwa-lh,"Salads, Fast Food",4.3,400 FOR TWO
Bliss Bakery & Cafe,kondhwa-lh,"Desserts, Bakery",4.2,350 FOR TWO
OMKAR CHINESE,kondhwa-lh,"Chinese, Snacks",--,300 FOR TWO
Tasty Bites,kondhwa-lh,Chaat,--,200 FOR TWO
FNP Cakes,kondhwa-lh,"Bakery, Desserts",--,499 FOR TWO
Chitale Bandhu Mithaiwale,kondhwa-lh,"Sweets, Snacks",4.7,400 FOR TWO
Karachi Sweet Mart,kondhwa-lh,"Desserts, Indian, Street Food",4.5,450 FOR TWO
Hite Bar,kondhwa-lh,Fast Food,4.2,300 FOR TWO
Chai Point,kondhwa-lh,"Bakery, Beverages, Maharashtrian, Snacks, Street Food, South Indian, Punjabi",4.5,150 FOR TWO
Noble Bake Food,kondhwa-lh,Bakery,4.5,100 FOR TWO
Dhokla House Sweets and Namkeen,kondhwa-lh,Snacks,4.2,150 FOR TWO
SINDHI BREAKFAST CORNER,kondhwa-lh,"Sindhi, South Indian",--,100 FOR TWO
A La Mode,kondhwa-lh,"Desserts, Bakery",4.9,350 FOR TWO
Beer & Beans,kondhwa-lh,"Italian, Continental, Thai, Pan-Asian, Mexican, Mediterranean",4.2,1000 FOR TWO
GUNBOTE FARSAN HOUSE,kondhwa-lh,Indian,--,180 FOR TWO
Kiosk Kaffee,kondhwa-lh,Beverages,--,200 FOR TWO
Nandu's Paratha,kondhwa-lh,North Indian,3.7,300 FOR TWO
Marzorin Express,kondhwa-lh,"Bakery, Desserts, Beverages, Snacks",4.3,300 FOR TWO
Crazy Cheezy Burger,kondhwa-lh,"Pizzas, Pastas",--,400 FOR TWO
Crazy Cheesy ( Sakunke),kondhwa-lh,"Pizzas, Pastas, American, Italian",4.1,500 FOR TWO
The DJ DAD Cafe,kondhwa-lh,"American, Fast Food",--,200 FOR TWO
Peppy Parathas & Rolls By Chai Point,kondhwa-lh,"Bakery, Beverages, Maharashtrian, Snacks, Street Food, South Indian, Punjabi",--,150 FOR TWO
Puneri Katta,kondhwa-lh,"Snacks, Fast Food, Maharashtrian",4.1,200 FOR TWO
Enchante By Chai Point,kondhwa-lh,"Bakery, Beverages, Maharashtrian, Snacks, Street Food, South Indian, Punjabi",--,150 FOR TWO
MAURYA VEG,kondhwa-lh,"North Indian, Chinese, Snacks, Desserts",4.1,600 FOR TWO
Southex Idli,kondhwa-lh,"South Indian, Snacks, Beverages",--,50 FOR TWO
McDonald's,kondhwa-lh,"Burgers, Beverages, Cafe, Desserts",4.3,400 FOR TWO
Maggie In a Bowl,kondhwa-lh,"Bhutanese, Nepalese, North Eastern, Tibetan",3.4,250 FOR TWO
1989 CAFE,kondhwa-lh,Hyderabadi,--,100 FOR TWO
NAADBRAMHA IDLI,kondhwa-lh,"South Indian, Beverages",--,100 FOR TWO
Swiss Bakes,kondhwa-lh,"Desserts, Bakery",4.0,250 FOR TWO
Grub Jars,kondhwa-lh,"Desserts, Beverages",4.6,400 FOR TWO
FLower Aura,kondhwa-lh,"Bakery, Desserts",--,1000 FOR TWO
The Good Food Factory,kondhwa-lh,"South Indian, Snacks",--,150 FOR TWO
Y K WADEWALE,kondhwa-lh,Snacks,--,40 FOR TWO
Cafe peter,kondhwa-lh,"Desserts, Continental, Korean",3.9,300 FOR TWO
THE MOMO BOX,kondhwa-lh,"Chinese, Tibetan, Nepalese, Pizzas, Snacks, Beverages",3.6,200 FOR TWO
S kumar wadewale & premacha chaha,kondhwa-lh,"Fast Food, Snacks, Beverages",4.2,150 FOR TWO
PANDIT CHAHA,kondhwa-lh,"Snacks, Fast Food",--,250 FOR TWO
Pandit Pan Pratisthan,kondhwa-lh,"Paan, Combo",--,100 FOR TWO
Cafe Paradise,kondhwa-lh,"Chinese, Snacks, Beverages",--,200 FOR TWO
Meet Cakes,kondhwa-lh,"Bakery, Desserts",--,400 FOR TWO
Tanishka Cakes & Cafe,kondhwa-lh,"Bakery, Desserts, Fast Food, Beverages",--,400 FOR TWO
Nadbramha Idli,kondhwa-lh,South Indian,4.7,150 FOR TWO
Govinda's,kondhwa-lh,"Desserts, Ice Cream",4.0,700 FOR TWO
Anna Idli,kondhwa-lh,"South Indian, Andhra",4.4,300 FOR TWO
The Burger Park,kondhwa-lh,Chinese,--,200 FOR TWO
"Swaad Lucknowi Chaat, Paratha And More...",kondhwa-lh,Indian,4.0,300 FOR TWO
Shreeji Ice Cream,kondhwa-lh,Ice Cream,--,150 FOR TWO
RED CHILLIES VEG,kondhwa-lh,"North Indian, South Indian, Chinese, Snacks, Punjabi",4.0,130 FOR TWO
Irani cafe,kondhwa-lh,"Snacks, Bakery, Fast Food, Desserts, Beverages, Indian, Street Food",4.3,200 FOR TWO
Mogambo Fries,kondhwa-lh,Snacks,--,250 FOR TWO
Peter's Pan,kondhwa-lh,"American, Italian, Beverages",3.5,400 FOR TWO
Just Burgers,kondhwa-lh,"Fast Food, Indian",--,300 FOR TWO
SDKz Healthy Food,kondhwa-lh,Snacks,--,220 FOR TWO
Fantasy Bakery N Patisserie,kondhwa-lh,"Bakery, Desserts",--,100 FOR TWO
Divya D Cafe,kondhwa-lh,"Pizzas, Italian, Snacks",3.2,250 FOR TWO
SUPERMAN MOMOS,kondhwa-lh,"Chinese, Tibetan, Nepalese, Tandoor, Mongolian, Desserts, Beverages",3.8,200 FOR TWO
Cafe Quick Stories,kondhwa-lh,"Italian, Fast Food, Snacks, Bakery, Beverages",4.1,300 FOR TWO
Dolma Aunty Momos,kondhwa-lh,"Nepalese, Chinese, Tibetan, Pizzas, Snacks, Beverages",4.0,300 FOR TWO
Dulari Cafe House,kondhwa-lh,"Beverages, Snacks, Fast Food",--,200 FOR TWO
Hungry Happening,kondhwa-lh,"North Indian, Seafood, Fast Food",--,400 FOR TWO
Flavogo - Your Taste For All Seasons,kondhwa-lh,"Beverages, Fast Food, Chinese",--,300 FOR TWO
Live Cake,kondhwa-lh,Desserts,--,300 FOR TWO
Golden Cakes,kondhwa-lh,Desserts,--,800 FOR TWO
Krushna Pure Veg,kondhwa-lh,"South Indian, Indian, Chinese",4.3,300 FOR TWO
McDonald's Gourmet Burger Collection,kondhwa-lh,"Burgers, Beverages, Cafe, Desserts",3.9,600 FOR TWO
Yenna Dosa,kondhwa-lh,South Indian,4.4,300 FOR TWO
McCafe by McDonald's,kondhwa-lh,"American, Beverages, Desserts",--,250 FOR TWO
Third Wave Coffee,dhanori,"Beverages, Desserts, Bakery, Pizzas",4.1,400 FOR TWO
Agatya Pure Veg,dhanori,"Indian, Chinese",3.9,350 FOR TWO
Kwality Walls Frozen Dessert and Ice Cream Shop,dhanori,"Desserts, Ice Cream, Ice Cream Cakes",--,200 FOR TWO
The Mom Made,dhanori,Indian,--,500 FOR TWO
Agrawal's Cafe,dhanori,"Indian, South Indian, Fast Food",3.6,197 FOR TWO
DD Baking,dhanori,"Bakery, Desserts",--,200 FOR TWO
Ashok Tea Centre,dhanori,"South Indian, Beverages",--,100 FOR TWO
Cafe Durga Dhanori (Diva Espresso),dhanori,"North Indian, Snacks, Fast Food",--,200 FOR TWO
Sai Restaurant,dhanori,"Chinese, North Indian, Punjabi, Biryani, Tandoor",3.5,300 FOR TWO
Subway,dhanori,"Salads, Snacks, Desserts, Beverages",3.9,350 FOR TWO
Parijat Mithai,dhanori,"Sweets, Snacks",--,300 FOR TWO
Sai Tirth Misal House,dhanori,"Maharashtrian, Snacks",4.1,100 FOR TWO
Shri Venkateswara Pure Veg	,dhanori,"South Indian, Chaat, Biryani, Fast Food, Beverages",--,500 FOR TWO
Paramji Wadewale,dhanori,"Snacks, South Indian, Beverages",3.7,100 FOR TWO
Cheesecakes By CakeZone,dhanori,"Bakery, Desserts",4.8,200 FOR TWO
South Kitchen,dhanori,South Indian,--,200 FOR TWO
CakeZone,dhanori,"Bakery, Desserts, Sweets, Ice Cream",4.3,200 FOR TWO
Waah! Indore,dhanori,Indian,3.9,150 FOR TWO
The Dessert Heaven - Pure Veg,dhanori,"Bakery, Desserts, Sweets, Ice Cream",4.6,200 FOR TWO
SUJATAS MAHARASHTRIAN FOOD,dhanori,Indian,4.2,250 FOR TWO
USHA South Indian food,dhanori,South Indian,4.3,300 FOR TWO
Chaupati Vadewale,dhanori,"Street Food, Maharashtrian",--,50 FOR TWO
Joshi Wadewale,dhanori,"Maharashtrian, South Indian, Snacks",--,100 FOR TWO
Faasos - Wraps & Rolls,dhanori,"Fast Food, North Indian, Street Food, Desserts",4.0,200 FOR TWO
Renuka Foods,dhanori,"North Indian, Indian, Desserts",--,200 FOR TWO
LunchBox - Meals and Thalis,dhanori,"North Indian, Punjabi, Biryani, Healthy Food, Jain, Thalis, Indian, Mughlai, Des...",4.1,200 FOR TWO
ARADHANA SWEETS,dhanori,"Sweets, Desserts",--,200 FOR TWO
Brew Coffee Culture	,dhanori,Beverages,--,300 FOR TWO
Sweet Truth - Cake and Desserts,dhanori,"Bakery, Desserts",4.2,450 FOR TWO
Cafe Durga,dhanori,"Indian, Chinese, Snacks",4.2,300 FOR TWO
Pure Veg Meals by Lunchbox,dhanori,"North Indian, Desserts, Biryani",3.8,200 FOR TWO
Venky's Xperience,dhanori,Indian,4.2,400 FOR TWO
Faasos' Signature Wraps & Rolls,dhanori,"Snacks, Beverages, Desserts, Indian",--,350 FOR TWO
Cafe Coffee Pics,dhanori,"Beverages, Pizzas",--,300 FOR TWO
The Brooklyn Creamery - Healthy Ice Cream,dhanori,"Desserts, Ice Cream, Healthy Food",4.3,200 FOR TWO
Baskin Robbins,dhanori,"Desserts, Ice Cream",4.3,250 FOR TWO
Devins Bakery,dhanori,Bakery,--,400 FOR TWO
FASTING AND FESTIVAL - PURE VEG,dhanori,South Indian,3.4,250 FOR TWO
